d,uh,u
0,1.5,1.5
5e-05,1.5,1.5
0.0001,1.5,1.5
0.00015,1.5,1.5
0.0002,1.5,1.5
0.00025,1.5,1.5
0.0003,1.5,1.5
0.00035,1.5,1.5
0.0004,1.5,1.5
0.00045,1.5,1.5
0.0005,1.5,1.5
0.00055,1.5,1.5
0.0006,1.5,1.5
0.00065,1.5,1.5
0.0007,1.5,1.5
0.00075,1.5,1.5
0.0008,1.5,1.5
0.00085,1.5,1.5
0.0009,1.5,1.5
0.00095,1.5,1.5
0.001,1.5,1.5
0.00105,1.5,1.5
0.0011,1.5,1.5
0.00115,1.5,1.5
0.0012,1.5,1.5
0.00125,1.5,1.5
0.0013,1.5,1.5
0.00135,1.5,1.5
0.0014,1.5,1.5
0.00145,1.5,1.5
0.0015,1.5,1.5
0.00155,1.5,1.5
0.0016,1.5,1.5
0.00165,1.5,1.5
0.0017,1.5,1.5
0.00175,1.5,1.5
0.0018,1.5,1.5
0.00185,1.49999,1.49999
0.0019,1.49999,1.49999
0.00195,1.49999,1.49999
0.002,1.49999,1.49999
0.00205,1.49999,1.49999
0.0021,1.49999,1.49999
0.00215,1.49999,1.49999
0.0022,1.49999,1.49999
0.00225,1.49999,1.49999
0.0023,1.49999,1.49999
0.00235,1.49999,1.49999
0.0024,1.49999,1.49999
0.00245,1.49999,1.49999
0.0025,1.49999,1.49999
0.00255,1.49999,1.49999
0.0026,1.49999,1.49999
0.00265,1.49999,1.49999
0.0027,1.49999,1.49999
0.00275,1.49999,1.49999
0.0028,1.49999,1.49999
0.00285,1.49999,1.49999
0.0029,1.49999,1.49999
0.00295,1.49999,1.49999
0.003,1.49999,1.49999
0.00305,1.49999,1.49999
0.0031,1.49999,1.49999
0.00315,1.49999,1.49999
0.0032,1.49998,1.49998
0.00325,1.49998,1.49998
0.0033,1.49998,1.49998
0.00335,1.49998,1.49998
0.0034,1.49998,1.49998
0.00345,1.49998,1.49998
0.0035,1.49998,1.49998
0.00355,1.49998,1.49998
0.0036,1.49998,1.49998
0.00365,1.49998,1.49998
0.0037,1.49998,1.49998
0.00375,1.49998,1.49998
0.0038,1.49998,1.49998
0.00385,1.49998,1.49998
0.0039,1.49998,1.49998
0.00395,1.49998,1.49998
0.004,1.49998,1.49998
0.00405,1.49998,1.49998
0.0041,1.49997,1.49997
0.00415,1.49997,1.49997
0.0042,1.49997,1.49997
0.00425,1.49997,1.49997
0.0043,1.49997,1.49997
0.00435,1.49997,1.49997
0.0044,1.49997,1.49997
0.00445,1.49997,1.49997
0.0045,1.49997,1.49997
0.00455,1.49997,1.49997
0.0046,1.49997,1.49997
0.00465,1.49997,1.49997
0.0047,1.49997,1.49997
0.00475,1.49997,1.49997
0.0048,1.49997,1.49997
0.00485,1.49996,1.49996
0.0049,1.49996,1.49996
0.00495,1.49996,1.49996
0.005,1.49996,1.49996
0.00505,1.49996,1.49996
0.0051,1.49996,1.49996
0.00515,1.49996,1.49996
0.0052,1.49996,1.49996
0.00525,1.49996,1.49996
0.0053,1.49996,1.49996
0.00535,1.49996,1.49996
0.0054,1.49996,1.49996
0.00545,1.49996,1.49996
0.0055,1.49995,1.49995
0.00555,1.49995,1.49995
0.0056,1.49995,1.49995
0.00565,1.49995,1.49995
0.0057,1.49995,1.49995
0.00575,1.49995,1.49995
0.0058,1.49995,1.49995
0.00585,1.49995,1.49995
0.0059,1.49995,1.49995
0.00595,1.49995,1.49995
0.006,1.49995,1.49995
0.00605,1.49995,1.49995
0.0061,1.49994,1.49994
0.00615,1.49994,1.49994
0.0062,1.49994,1.49994
0.00625,1.49994,1.49994
0.0063,1.49994,1.49994
