d,uh,u
0,0.166667,0.166667
0.005,0.166667,0.166667
0.01,0.166666,0.166666
0.015,0.166666,0.166666
0.02,0.166665,0.166665
0.025,0.166664,0.166664
0.03,0.166662,0.166662
0.035,0.16666,0.16666
0.04,0.166656,0.166656
0.045,0.166651,0.166651
0.05,0.166646,0.166646
0.055,0.166639,0.166639
0.06,0.166631,0.166631
0.065,0.166621,0.166621
0.07,0.166609,0.166609
0.075,0.166596,0.166596
0.08,0.166581,0.166581
0.085,0.166564,0.166564
0.09,0.166545,0.166545
0.095,0.166524,0.166524
0.1,0.1665,0.1665
0.105,0.166474,0.166474
0.11,0.166445,0.166445
0.115,0.166413,0.166413
0.12,0.166379,0.166379
0.125,0.166341,0.166341
0.13,0.1663,0.1663
0.135,0.166257,0.166257
0.14,0.166209,0.166209
0.145,0.166159,0.166159
0.15,0.166104,0.166104
0.155,0.166046,0.166046
0.16,0.165984,0.165984
0.165,0.165918,0.165918
0.17,0.165848,0.165848
0.175,0.165773,0.165773
0.18,0.165695,0.165695
0.185,0.165611,0.165611
0.19,0.165523,0.165524
0.195,0.165431,0.165431
0.2,0.165333,0.165333
0.205,0.165231,0.165231
0.21,0.165123,0.165123
0.215,0.16501,0.16501
0.22,0.164892,0.164892
0.225,0.164768,0.164768
0.23,0.164639,0.164639
0.235,0.164504,0.164504
0.24,0.164363,0.164363
0.245,0.164216,0.164216
0.25,0.164062,0.164062
0.255,0.163903,0.163903
0.26,0.163737,0.163737
0.265,0.163565,0.163565
0.27,0.163386,0.163386
0.275,0.163201,0.163201
0.28,0.163008,0.163008
0.285,0.162808,0.162808
0.29,0.162602,0.162602
0.295,0.162388,0.162388
0.3,0.162167,0.162167
0.305,0.161938,0.161938
0.31,0.161701,0.161701
0.315,0.161457,0.161457
0.32,0.161205,0.161205
0.325,0.160945,0.160945
0.33,0.160677,0.160677
0.335,0.160401,0.160401
0.34,0.160116,0.160116
0.345,0.159823,0.159823
0.35,0.159521,0.159521
0.355,0.15921,0.15921
0.36,0.158891,0.158891
0.365,0.158562,0.158562
0.37,0.158224,0.158225
0.375,0.157878,0.157878
0.38,0.157521,0.157521
0.385,0.157156,0.157156
0.39,0.15678,0.15678
0.395,0.156395,0.156395
0.4,0.156,0.156
0.405,0.155595,0.155595
0.41,0.15518,0.15518
0.415,0.154754,0.154754
0.42,0.154319,0.154319
0.425,0.153872,0.153872
0.43,0.153415,0.153416
0.435,0.152948,0.152948
0.44,0.152469,0.152469
0.445,0.15198,0.15198
0.45,0.151479,0.151479
0.455,0.150967,0.150967
0.46,0.150444,0.150444
0.465,0.149909,0.149909
0.47,0.149363,0.149363
0.475,0.148805,0.148805
0.48,0.148235,0.148235
0.485,0.147653,0.147653
0.49,0.147058,0.147059
0.495,0.146452,0.146452
0.5,0.145833,0.145833
0.505,0.145202,0.145202
0.51,0.144558,0.144558
0.515,0.143902,0.143902
0.52,0.143232,0.143232
0.525,0.142549,0.142549
0.53,0.141854,0.141854
0.535,0.141145,0.141145
0.54,0.140423,0.140423
0.545,0.139687,0.139687
0.55,0.138937,0.138937
0.555,0.138174,0.138174
0.56,0.137397,0.137397
0.565,0.136606,0.136606
0.57,0.135801,0.135801
0.575,0.134982,0.134982
0.58,0.134148,0.134148
0.585,0.1333,0.1333
0.59,0.132437,0.132437
0.595,0.131559,0.131559
0.6,0.130667,0.130667
0.605,0.129759,0.129759
0.61,0.128836,0.128836
0.615,0.127899,0.127899
0.62,0.126945,0.126945
0.625,0.125977,0.125977
0.63,0.124992,0.124992
0.635,0.123992,0.123992
0.64,0.122976,0.122976
0.645,0.121944,0.121944
0.65,0.120896,0.120896
0.655,0.119831,0.119831
0.66,0.118751,0.118751
0.665,0.117653,0.117653
0.67,0.116539,0.116539
0.675,0.115409,0.115409
0.68,0.114261,0.114261
0.685,0.113097,0.113097
0.69,0.111915,0.111915
0.695,0.110716,0.110716
0.7,0.1095,0.1095
0.705,0.108266,0.108266
0.71,0.107015,0.107015
0.715,0.105746,0.105746
0.72,0.104459,0.104459
0.725,0.103154,0.103154
0.73,0.10183,0.101831
0.735,0.100489,0.100489
0.74,0.0991293,0.0991293
0.745,0.0977511,0.0977511
0.75,0.0963542,0.0963542
0.755,0.0949385,0.0949385
0.76,0.093504,0.093504
0.765,0.0920505,0.0920505
0.77,0.0905778,0.0905778
0.775,0.0890859,0.0890859
0.78,0.0875747,0.0875747
0.785,0.0860439,0.0860439
0.79,0.0844935,0.0844935
0.795,0.0829234,0.0829234
0.8,0.0813333,0.0813333
0.805,0.0797233,0.0797233
0.81,0.0780932,0.0780932
0.815,0.0764428,0.0764428
0.82,0.074772,0.074772
0.825,0.0730807,0.0730807
