x,y
0,1
0.0010101,0.9799
0.0020202,0.960004
0.0030303,0.940312
0.0040404,0.920824
0.00505051,0.901541
0.00606061,0.882461
0.00707071,0.863585
0.00808081,0.844914
0.00909091,0.826446
0.010101,0.808183
0.0111111,0.790123
0.0121212,0.772268
0.0131313,0.754617
0.0141414,0.73717
0.0151515,0.719927
0.0161616,0.702887
0.0171717,0.686052
0.0181818,0.669421
0.0191919,0.652995
0.020202,0.636772
0.0212121,0.620753
0.0222222,0.604938
0.0232323,0.589328
0.0242424,0.573921
0.0252525,0.558718
0.0262626,0.54372
0.0272727,0.528926
0.0282828,0.514335
0.0292929,0.499949
0.030303,0.485767
0.0313131,0.471789
0.0323232,0.458014
0.0333333,0.444444
0.0343434,0.431078
0.0353535,0.417917
0.0363636,0.404959
0.0373737,0.392205
0.0383838,0.379655
0.0393939,0.367309
0.040404,0.355168
0.0414141,0.34323
0.0424242,0.331497
0.0434343,0.319967
0.0444444,0.308642
0.0454545,0.297521
0.0464646,0.286603
0.0474747,0.27589
0.0484848,0.265381
0.0494949,0.255076
0.0505051,0.244975
0.0515152,0.235078
0.0525253,0.225385
0.0535354,0.215896
0.0545455,0.206612
0.0555556,0.197531
0.0565657,0.188654
0.0575758,0.179982
0.0585859,0.171513
0.059596,0.163249
0.0606061,0.155188
0.0616162,0.147332
0.0626263,0.13968
0.0636364,0.132231
0.0646465,0.124987
0.0656566,0.117947
0.0666667,0.111111
0.0676768,0.104479
0.0686869,0.0980512
0.069697,0.0918274
0.0707071,0.0858076
0.0717172,0.0799918
0.0727273,0.0743802
0.0737374,0.0689726
0.0747475,0.063769
0.0757576,0.0587695
0.0767677,0.0539741
0.0777778,0.0493827
0.0787879,0.0449954
0.079798,0.0408122
0.0808081,0.036833
0.0818182,0.0330579
0.0828283,0.0294868
0.0838384,0.0261198
0.0848485,0.0229568
0.0858586,0.019998
0.0868687,0.0172431
0.0878788,0.0146924
0.0888889,0.0123457
0.089899,0.010203
0.0909091,0.00826446
0.0919192,0.00652995
0.0929293,0.00499949
0.0939394,0.00367309
0.0949495,0.00255076
0.0959596,0.00163249
0.0969697,0.000918274
0.0979798,0.000408122
0.0989899,0.00010203
0.1,0
0,0
0.0010101,0.020049
0.0020202,0.0397919
0.0030303,0.0592287
0.0040404,0.0783594
0.00505051,0.097184
0.00606061,0.115702
0.00707071,0.133915
0.00808081,0.151821
0.00909091,0.169421
0.010101,0.186716
0.0111111,0.203704
0.0121212,0.220386
0.0131313,0.236762
0.0141414,0.252831
0.0151515,0.268595
0.0161616,0.284053
0.0171717,0.299204
0.0181818,0.31405
0.0191919,0.328589
0.020202,0.342822
0.0212121,0.356749
0.0222222,0.37037
0.0232323,0.383685
0.0242424,0.396694
0.0252525,0.409397
0.0262626,0.421794
0.0272727,0.433884
0.0282828,0.445669
0.0292929,0.457147
0.030303,0.46832
0.0313131,0.479186
0.0323232,0.489746
0.0333333,0.5
0.0343434,0.509948
0.0353535,0.51959
0.0363636,0.528926
0.0373737,0.537955
0.0383838,0.546679
0.0393939,0.555096
0.040404,0.563208
0.0414141,0.571013
0.0424242,0.578512
0.0434343,0.585706
0.0444444,0.592593
0.0454545,0.599174
0.0464646,0.605448
0.0474747,0.611417
0.0484848,0.61708
0.0494949,0.622436
0.0505051,0.627487
0.0515152,0.632231
0.0525253,0.63667
0.0535354,0.640802
0.0545455,0.644628
0.0555556,0.648148
0.0565657,0.651362
0.0575758,0.65427
0.0585859,0.656872
0.059596,0.659167
0.0606061,0.661157
0.0616162,0.662841
0.0626263,0.664218
0.0636364,0.665289
0.0646465,0.666054
0.0656566,0.666514
0.0666667,0.666667
0.0676768,0.666514
0.0686869,0.666054
0.069697,0.665289
0.0707071,0.664218
0.0717172,0.662841
0.0727273,0.661157
0.0737374,0.659167
0.0747475,0.656872
0.0757576,0.65427
0.0767677,0.651362
0.0777778,0.648148
0.0787879,0.644628
0.079798,0.640802
0.0808081,0.63667
0.0818182,0.632231
0.0828283,0.627487
0.0838384,0.622436
0.0848485,0.61708
0.0858586,0.611417
0.0868687,0.605448
0.0878788,0.599174
0.0888889,0.592593
0.089899,0.585706
0.0909091,0.578512
0.0919192,0.571013
0.0929293,0.563208
0.0939394,0.555096
0.0949495,0.546679
0.0959596,0.537955
0.0969697,0.528926
0.0979798,0.51959
0.0989899,0.509948
0.1,0.5
0,0
0.0010101,5.10152e-05
0.0020202,0.000204061
0.0030303,0.000459137
0.0040404,0.000816243
0.00505051,0.00127538
0.00606061,0.00183655
0.00707071,0.00249974
0.00808081,0.00326497
0.00909091,0.00413223
0.010101,0.00510152
0.0111111,0.00617284
0.0121212,0.00734619
0.0131313,0.00862157
0.0141414,0.00999898
0.0151515,0.0114784
0.0161616,0.0130599
0.0171717,0.0147434
0.0181818,0.0165289
0.0191919,0.0184165
0.020202,0.0204061
0.0212121,0.0224977
0.0222222,0.0246914
0.0232323,0.026987
0.0242424,0.0293848
0.0252525,0.0318845
0.0262626,0.0344863
0.0272727,0.0371901
0.0282828,0.0399959
0.0292929,0.0429038
0.030303,0.0459137
0.0313131,0.0490256
0.0323232,0.0522396
0.0333333,0.0555556
0.0343434,0.0589736
0.0353535,0.0624936
0.0363636,0.0661157
0.0373737,0.0698398
0.0383838,0.073666
0.0393939,0.0775941
0.040404,0.0816243
0.0414141,0.0857566
